ID,Kanji,Onyomi,Kunyomi,Meaning
1,会,kai,a(u),meeting; meet
2,同,dou,onaji,"same, agree, equal"
3,事,ji,koto,"matter, thing, fact, business, reason, possibly"
4,自,"ji, shi",mizuka(ra),oneself
5,社,sha,yashiro,"company, firm, office, association, shrine"
6,発,"hatsu, hotsu",,"departure, discharge, emit, start from"
7,者,sha,mono,"someone, person"
8,地,"chi, ji",,"ground, earth"
9,業,gyou,waza,"business, vocation, arts, performance"
10,方,hou,kata,"direction, person, alternative"
11,新,shin,"atara(shii), ara(ta)",new
12,場,jou,ba,"location, place"
13,員,in,,"employee, member, number, the one in charge"
14,立,ritsu,ta(tsu),"stand up, rise"
15,開,kai,"hira(ku), a(keru)","open, unfold, unseal"
16,手,shu,te,hand
17,力,"ryoku, riki",chikara,"power, strength, strong, strain, bear up, exert"
18,問,mon,to(u),"question, ask, problem"
19,代,dai,ka(wari),"substitute, change, convert, replace, period"
20,明,"mei, myou",aka(rui),"bright, light"
21,動,dou,ugo(ku),"move, motion, change"
22,京,"kyou, kei, kin",miyako,capital
23,目,"moku, boku",me,"eye, class, look, insight, experience"
24,通,tsuu,"too(ru), kayo(u)","traffic, pass through, avenue, commute"
25,言,"gen, gon","i(u), koto","say, word"
26,理,ri,,"logic, arrangement, reason, justice, truth"
27,体,tai,karada,"body, substance, object, reality"
28,田,den,ta,"rice field, rice paddy"
29,主,shu,"nushi, omo","lord, chief, master, main thing, principal"
30,題,dai,,"topic, subject"
31,意,i,,"idea, mind, heart, taste, thought"
32,不,"fu, bu",,"negative, non-, bad"
33,作,"saku, sa",tsuku(ru),"make, production, prepare, build"
34,用,you,mochi(iru),"utilize, business, service, use, employ"
35,度,"do, taku","tabi, ta(i)","degrees, occurrence, time, counter for occurrences"
36,強,"kyou, gou",tsuyo(i),strong
37,公,kou,,"public, prince, official, governmental"
38,持,ji,mo(tsu),"hold, have"
39,野,ya,no,"plains, field, rustic, civilian life"
40,以,i,mo(tte),"by means of, because, in view of, compared with"
41,思,shi,omo(u),think
42,家,ka,"ie, ya, uchi","house, home, family, professional, expert"
43,世,"sei, se",yo,"generation, world, society, public"
44,多,ta,oo(i),"many, frequent, much"
45,正,"sei, shou","tada(shii), masa(ni)","correct, justice, righteous"
46,安,an,yasu(i),"safe, peaceful, cheap"
47,院,in,,"institution, temple, mansion, school"
48,心,shin,kokoro,"heart, mind, spirit"
49,界,kai,,"world, boundary"
50,教,kyou,"oshi(eru), oso(waru)","teach, faith, doctrine"
51,文,"bun, mon",fumi,"sentence, literature, style, art"
52,元,"gen, gan",moto,"beginning, former time, origin"
53,重,"juu, chou","omo(i), kasa(neru)","heavy, important, esteem, respect"
54,近,kin,chika(i),"near, early, akin, tantamount"
55,考,kou,kanga(eru),"consider, think over"
56,画,"ga, kaku",kaku(suru),"brush-stroke, picture"
57,海,kai,umi,"sea, ocean"
58,売,bai,u(ru),Sell
59,知,chi,shi(ru),"know, wisdom"
60,道,dou,michi,"road-way, street, district, journey, course"
61,集,shuu,atsu(meru),"gather, meet"
62,別,betsu,"waka(reru), wa(keru)","separate, branch off, diverge"
63,物,"butsu, motsu",mono,"thing, object, matter"
64,使,shi,tsuka(u),"use, order, messenger, ambassador"
65,品,hin,shina,"goods, refinement, dignity, article"
66,計,kei,haka(ru),"plot, plan, scheme, measure"
67,死,shi,shi(nu),"death, die"
68,特,toku,,special
69,私,shi,"watakushi, watashi","private, I, me"
70,始,shi,haji(meru),"commence, begin"
71,朝,chou,asa,morning
72,運,un,hako(bu),"carry, luck, destiny, fate, transport"
73,終,shuu,o(waru),"end, finish"
74,台,"dai, tai",utena,"pedestal, a stand, counter for machines and vehicles"
75,広,kou,hiro(i),"wide, broad, spacious"
76,住,"juu, chuu",su(mu),"dwell, reside, live, inhabit"
77,無,"mu, bu",na(i),"nothingness, none, ain't, nothing, nil, not"
78,真,shin,"ma, makoto","true, reality, Buddhist sect"
79,有,"yuu, u",a(ru),"possess, have, exist, happen"
80,口,kou,kuchi,mouth
81,少,shou,"suku(nai), suko(shi)","few, little"
82,町,chou,machi,"town, village, block, street"
83,料,ryou,,"fee, materials"
84,工,"kou, ku, gu",,"craft, construction"
85,建,"ken, kon",ta(teru),build
86,空,kuu,"sora, kara, a(ku), su(ku), muna(shii)","empty, sky, void, vacant, vacuum"
87,急,kyuu,iso(gu),"hurry, emergency, sudden, steep"
88,止,shi,"to(maru), todo(maru), ya(meru), yo(su)","stop, halt"
89,送,sou,oku(ru),"escort, send"
90,切,"setsu, sai",ki(ru),"cut, cutoff, be sharp"
91,転,ten,koro(garu),"revolve, turn around, change"
92,研,ken,to(gu),"polish, study of, sharpen"
93,足,soku,"ashi, ta(riru)","leg, foot, be sufficient"
94,究,kyuu,,"research, study"
95,楽,"gaku, raku",tano(shii),"music, comfort, ease"
96,起,ki,"o(kiru), oko(su)","wake up, get up; rouse"
97,着,chaku,"ki(ru), tsu(ku)","arrive, wear, counter for suits of clothing"
98,店,ten,mise,"store, shop"
99,病,byou,ya(mu),"ill, sick"
100,質,"shitsu, shichi","tachi, tada(su)","substance, quality, matter, temperament"
101,待,tai,ma(tsu),"wait, depend on"
102,試,shi,"kokoro(miru), tame(su)","test, try, attempt, experiment"
103,族,zoku,,"tribe, family"
104,銀,gin,,silver
105,早,"sou, sa",haya(i),"early, fast"
106,映,ei,"utsu(ru), ha(eru)","reflect, reflection, projection"
107,親,shin,"oya, shita(shii)","parent, intimacy, relative, familiarity"
108,験,ken,,"verification, effect, testing"
109,英,ei,,"England, English, hero, outstanding"
110,医,i,,"doctor, medicine"
111,仕,shi,,"attend, doing, official, serve"
112,去,"kyo, ko",sa(ru),"gone, past, quit, leave, elapse, eliminate"
113,味,mi,aji,"flavor, taste"
114,写,sha,utsuru,"copy, be photographed, describe"
115,字,ji,,"character, letter, word"
116,答,tou,kota(eru),"solution, answer"
117,夜,ya,"yo, yoru","night, evening"
118,音,on,"oto, ne","sound, noise"
119,注,chuu,"soso(gu), sa(su), tsu(gu)","pour, irrigate, shed (tears), flow into, concentrate on"
120,帰,ki,"kae(ru), kae(su)","homecoming, arrive at, lead to, result in"
121,古,ko,furu(i),old
122,歌,ka,"uta, uta(u)","song, sing"
123,買,bai,ka(u),buy
124,悪,aku,waru(i),"bad, evil, wrong"
125,図,"zu, to",haka(ru),"map, drawing, plan, extraordinary"
126,週,shuu,,week
127,室,shitsu,muro,"room, apartment, chamber, cellar"
128,歩,"ho, bu","aru(ku), ayu(mu)","walk, counter for steps"
129,風,"fuu, fu","kaze, kaza-","wind, air, style, manner"
130,紙,shi,kami,paper
131,黒,koku,kuro,black
132,花,"ka, ke",hana,flower
133,春,shun,haru,spring
134,赤,"seki, shaku",aka(i),red
135,青,"sei, shou",ao(i),blue
136,館,kan,yakata,"building, mansion, large building, palace"
137,屋,oku,ya,"roof, house, shop, dealer, seller"
138,色,"shoku, shiki",iro,color
139,走,sou,hashi(ru),Run
140,秋,shuu,aki,"autumn, fall"
141,夏,"ka, ge",natsu,summer
142,習,shuu,nara(u),learn
143,駅,eki,,station
144,洋,you,,"ocean, sea, foreign, Western style"
145,旅,ryo,tabi,"trip, travel"
146,服,fuku,,"clothing, admit, obey"
147,夕,seki,yuu,evening
148,借,shaku,ka(riru),"borrow, rent"
149,曜,you,,weekday
150,飲,in,no(mu),drink
151,肉,niku,,meat
152,貸,tai,"ka(su), kashi",lend
153,堂,dou,,"public chamber, hall"
154,鳥,chou,tori,"bird, chicken"
155,飯,han,meshi,"meal, rice"
156,勉,ben,tsuto(meru),"exertion, endeavor, effort"
157,冬,tou,fuyu,winter
158,昼,chuu,hiru,"daytime, noon"
159,茶,"cha, sa",,tea
160,弟,"tei, dai, de",otouto,younger brother
161,牛,gyuu,ushi,cow
162,魚,gyo,"uo, sakana",fish
163,兄,"kyou, kei",ani,elder brother
164,犬,ken,inu,dog
165,妹,mai,imouto,younger sister
166,姉,shi,ane,elder sister
167,漢,kan,,China
