ID,Kanji,Onyomi,Kunyomi,Meaning
1,政,sei,matsurigoto,"politics, government"
2,議,gi,,"deliberation, consultation, debate"
3,民,min,tami,"people, nation, subjects"
4,連,ren,"tsura(naru), tsu(reru)","take along, lead, join, connect"
5,対,"tai, tsui","a(u), ai","opposite, even, equal, versus, anti-, compare"
6,部,bu,,"section, bureau, dept, class, copy, part, portion"
7,合,"gou, ga, ka","a(u), ai","fit, suit, join"
8,市,shi,ichi,"city, town, market"
9,内,nai,uchi,"inside, within, between, among, house, home"
10,相,"sou, shou",ai,"inter-, mutual, together, minister of state"
11,定,"tei, jou",sada(meru),"determine, fix, establish, decide"
12,回,kai,mawa(su),"-times, round, revolve, counter"
13,選,sen,era(bu),"elect, select, choose, prefer"
14,米,"bei, mai",kome,"rice, USA, meter"
15,実,jitsu,"mi, mino(ru), makoto","reality, truth"
16,関,kan,"seki, kaka(waru)","connection, gateway, involve, concerning"
17,決,ketsu,ki(meru),"decide, fix, agree upon, appoint"
18,全,zen,"matta(ku), sube(te)","whole, entire, all, complete, fulfill"
19,表,hyou,"omote, arawa(su)","surface, table, chart, diagram"
20,戦,sen,"ikusa, tataka(u)","war, battle, match"
21,経,kei,"he(ru), ta(tsu)","longitude, pass thru, expire, warp"
22,最,sai,motto,"utmost, most, extreme"
23,現,gen,"arawa(reru), utsu(tsu)","present, existing, actual"
24,調,chou,"shira(beru), totono(u)","tune, tone, meter, prepare, investigate"
25,化,"ka, ke","ba(keru), fu(keru)","change, take the form of, influence, -ization"
26,当,tou,a(taru),"hit, right, appropriate"
27,約,yaku,tsuzu(maru),"promise, approximately, shrink"
28,首,shu,kubi,neck
29,法,hou,nori,"method, law, rule, principle, model, system"
30,性,"sei, shou",,"sex, gender, nature"
31,的,teki,,"mark, target, object, adjective ending"
32,要,you,"i(ru), kaname","need, main point, essence, pivot"
33,制,sei,,"system, law, rule"
34,治,"ji, chi","osa(meru), nao(ru)","reign, cure, heal"
35,務,mu,tsuto(meru),"task, duties"
36,成,"sei, jou",na(ru),"turn into, become, get, grow, elapse"
37,期,"ki, go",,"period, time, date, term"
38,取,shu,to(ru),"take, fetch"
39,都,"to, tsu",miyako,"metropolis, capital"
40,和,"wa, o","yawa(ragu), nago(mu)","harmony, Japanese style, peace"
41,機,ki,,"machine, airplane, opportunity"
42,平,"hei, byou","tai(ra), hira","even, flat, peace"
43,加,ka,kuwa(eru),"add, addition, increase, join"
44,受,ju,u(keru),"accept, undergo, answer (phone), take"
45,続,zoku,tsuzu(ku),"continue, series, sequel"
46,進,shin,susu(mu),"advance, proceed"
47,数,suu,"kazu, kazo(eru)","number, strength, fate, law, figures"
48,記,ki,shiru(su),"scribe, account, narrative"
49,初,sho,"haji(me), hatsu","first time, beginning"
50,指,shi,"yubi, sa(su)","finger, point to, indicate"
51,権,ken,,"authority, power, rights"
52,支,shi,sasa(eru),"branch, support, sustain"
53,産,san,"u(mu), mu(su)","products, bear, give birth"
54,点,ten,tsu(keru),"spot, point, mark"
55,報,hou,muku(iru),"report, news, reward"
56,済,"sai, sei",su(mu),"settle, relieve, finish"
57,活,katsu,i(kiru),living
58,原,gen,hara,"original, primitive, field"
59,共,kyou,tomo,"together, both, neither"
60,得,toku,e(ru),"get, find, earn, acquire, profit"
61,解,"kai, ge","to(ku), hodo(ku)","unravel, explanation, untie, solve, answer"
62,交,kou,"maji(waru), ma(zeru), ka(wasu)","mingle, mixing, association"
63,資,shi,,"assets, resources, capital, funds, data"
64,予,"yo, sha",arakaji(me),"beforehand, previous, myself, I"
65,向,kou,"mu(ku), muka(i)","facing, beyond, approach"
66,際,sai,kiwa,"occasion, time"
67,勝,shou,"ka(tsu), masa(ru)","victory, win"
68,面,men,"omo, omote, tsura","mask, face, features, surface"
69,告,koku,tsu(geru),"revelation, inform"
70,反,"han, hon, tan, ho","so(ru), kae(su)",anti-
71,判,han,,"judgement, signature"
72,認,nin,"mito(meru), shitata(meru)","acknowledge, witness, recognize"
73,参,san,mai(ru),"going, coming, participate"
74,利,ri,ki(ku),"profit, advantage, benefit"
75,組,so,"ku(mu), kumi","association, assemble, unite"
76,信,shin,,"faith, truth, trust"
77,在,zai,a(ru),"exist, outskirts"
78,件,ken,kudan,"affair, case, matter"
79,側,soku,"gawa, soba","side, lean, oppose"
80,任,nin,maka(seru),"responsibility, duty"
81,引,in,hi(ku),"pull, tug, jerk"
82,求,kyuu,moto(meru),"request, want, demand"
83,所,sho,tokoro,"place, extent"
84,次,"ji, shi","tsu(gu), tsugi","next, order"
85,昨,saku,,"yesterday, previous"
86,論,ron,agetsura(u),"argument, discourse"
87,官,kan,,"bureaucrat, the government, organ"
88,増,zou,"ma(su), fu(eru)","increase, add"
89,係,kei,"kaka(ru), kakari","person in charge, connection"
90,感,kan,,"emotion, feeling, sensation"
91,情,"jou, sei",nasa(ke),"feelings, emotion, passion"
92,投,tou,na(geru),"throw, discard"
93,示,"ji, shi",shime(su),"show, indicate, display"
94,変,hen,ka(waru),"unusual, change, strange"
95,打,da,"u(tsu), bu(tsu)","strike, hit, knock"
96,直,"choku, jiki","tada(chini), su(gu), nao(su)","straightaway, honesty, frankness, fix, repair"
97,両,ryou,futatsu,both
98,式,shiki,,"style, ceremony"
99,確,kaku,tashi(ka),"assurance, firm, confirm"
100,果,ka,ha(tasu),"fruit, reward, carry out, achieve, complete"
101,容,you,i(reru),"contain, form"
102,必,hitsu,kanara(zu),"invariably, certain, inevitable"
103,演,en,,"performance, act, play, render, stage"
104,歳,"sai, sei",toshi,"age, year-end"
105,争,sou,araso(u),"contend, dispute, argue"
106,談,dan,,"discuss, talk"
107,能,nou,,"ability, talent, skill, capacity"
108,位,i,"kurai, gurai","rank, grade, about"
109,置,chi,o(ku),"placement, put, set, deposit, leave behind"
110,流,"ryuu, ru",naga(reru),"current, flow"
111,格,"kaku, kou, kyaku",,"status, rank, capacity"
112,疑,gi,utaga(u),"doubt, distrust"
113,過,ka,"su(giru), yogi(ru)","overdo, exceed, go beyond"
114,局,kyoku,,"bureau, board, office"
